system,source,target,seed,k,n_shot_actual,macro_f1,accuracy,recall_class_0,recall_class_1,n_eval_clean,adapt_seconds,config_hash
fgm,banglasarc3_binary,banglasarc_binary,1,100,100,0.8922222971302726,0.8990825688073395,0.9296296296296296,0.8493975903614458,436,10.476264953613281,6970de89ef36b0ad
fgm,banglasarc3_binary,banglasarc_binary,1,250,250,0.9218077474892397,0.926605504587156,0.9481481481481482,0.891566265060241,436,5.153837442398071,6970de89ef36b0ad
fgm,banglasarc3_binary,banglasarc_binary,1,500,500,0.9418976545842217,0.944954128440367,0.9481481481481482,0.9397590361445783,436,8.260353088378906,6970de89ef36b0ad
fgm,banglasarc3_binary,banglasarc_binary,1,1000,1000,0.9541527614050818,0.9564220183486238,0.9518518518518518,0.963855421686747,436,7.482098579406738,6970de89ef36b0ad
fgm,banglasarc3_binary,ben_sarc_binary,7,0,0,0.6752562488898105,0.6757705813499805,0.6362217017954723,0.7152886115444618,2563,0.0,6970de89ef36b0ad
fgm,banglasarc3_binary,ben_sarc_binary,7,25,24,0.703396592322432,0.703472493172064,0.687743950039032,0.719188767550702,2563,3.6788558959960938,6970de89ef36b0ad
fgm,banglasarc3_binary,ben_sarc_binary,7,50,50,0.7221971207303275,0.722200546234881,0.7189695550351288,0.7254290171606864,2563,3.3037755489349365,6970de89ef36b0ad
fgm,banglasarc3_binary,ben_sarc_binary,7,100,100,0.6916444505185654,0.6929379633242294,0.7580015612802498,0.6279251170046802,2563,4.3610639572143555,6970de89ef36b0ad
fgm,banglasarc3_binary,ben_sarc_binary,7,250,250,0.7393288933637261,0.739758095981272,0.78064012490242,0.6989079563182528,2563,3.6566340923309326,6970de89ef36b0ad
fgm,banglasarc3_binary,ben_sarc_binary,7,500,500,0.7406097347082047,0.74131876706984,0.7939110070257611,0.6887675507020281,2563,6.481782913208008,6970de89ef36b0ad
fgm,banglasarc3_binary,ben_sarc_binary,7,1000,1000,0.7500176782270079,0.7502926258291065,0.7837626854020296,0.7168486739469578,2563,9.302006959915161,6970de89ef36b0ad
fgm,banglasarc3_binary,banglasarc_binary,7,0,0,0.6698970321017566,0.6788990825688074,0.6814814814814815,0.6746987951807228,436,0.0,6970de89ef36b0ad
fgm,banglasarc3_binary,banglasarc_binary,7,25,25,0.8114784814505203,0.8279816513761468,0.9074074074074074,0.6987951807228916,436,2.8188321590423584,6970de89ef36b0ad
fgm,banglasarc3_binary,banglasarc_binary,7,50,50,0.8511254037291418,0.8600917431192661,0.8925925925925926,0.8072289156626506,436,2.6305155754089355,6970de89ef36b0ad
fgm,banglasarc3_binary,banglasarc_binary,7,100,100,0.913944295003017,0.9197247706422018,0.9518518518518518,0.8674698795180723,436,3.8561015129089355,6970de89ef36b0ad
fgm,banglasarc3_binary,banglasarc_binary,7,250,250,0.9386865419772183,0.9426605504587156,0.9666666666666667,0.9036144578313253,436,4.06214451789856,6970de89ef36b0ad
fgm,banglasarc3_binary,banglasarc_binary,7,500,500,0.9414961422341497,0.944954128440367,0.9592592592592593,0.9216867469879518,436,7.569210052490234,6970de89ef36b0ad
fgm,banglasarc3_binary,banglasarc_binary,7,1000,1000,0.9633914927202807,0.9655963302752294,0.9777777777777777,0.9457831325301205,436,7.0830748081207275,6970de89ef36b0ad
